省/区/市	行政区	长途区号
北京市	北京市	10
天津市	天津市	22
河北省	石家庄市	311
河北省	张家口市	313
河北省	承德市	314
河北省	秦皇岛市	335
河北省	唐山市	315
河北省	廊坊市	316
河北省	保定市	312
河北省	沧州市	317
河北省	衡水市	318
河北省	邢台市	319
河北省	邯郸市	310
山西省	太原市	351
山西省	大同市	352
山西省	朔州市	349
山西省	阳泉市	353
山西省	长治市	355
山西省	晋城市	356
山西省	忻州市	350
山西省	晋中市	354
山西省	临汾市	357
山西省	运城市	359
山西省	吕梁市	358
内蒙古自治区	呼和浩特市	471
内蒙古自治区	包头市	472
内蒙古自治区	乌海市	473
内蒙古自治区	赤峰市	476
内蒙古自治区	通辽市	475
内蒙古自治区	呼伦贝尔市	470
内蒙古自治区	鄂尔多斯市	477
内蒙古自治区	乌兰察布市	474
内蒙古自治区	巴彦淖尔市	478
内蒙古自治区	兴安盟	482
内蒙古自治区	锡林郭勒盟	479
内蒙古自治区	阿拉善盟	483
辽宁省	沈阳市	24
辽宁省	铁岭市	24
辽宁省	抚顺市	24
辽宁省	本溪市	24
辽宁省	朝阳市	421
辽宁省	阜新市	418
辽宁省	辽阳市	419
辽宁省	鞍山市	412
辽宁省	丹东市	415
辽宁省	大连市	411
辽宁省	营口市	417
辽宁省	盘锦市	427
辽宁省	锦州市	416
辽宁省	葫芦岛市	429
吉林省	长春市	431
吉林省	白城市	436
吉林省	松原市	438
吉林省	吉林市	432
吉林省	四平市	434
吉林省	辽源市	437
吉林省	通化市	435
吉林省	白山市	439
吉林省	延边朝鲜族自治州	433
黑龙江省	哈尔滨市	451
黑龙江省	齐齐哈尔市	452
黑龙江省	黑河市	456
黑龙江省	大庆市	459
黑龙江省	伊春市	458
黑龙江省	鹤岗市	468
黑龙江省	佳木斯市	454
黑龙江省	双鸭山市	469
黑龙江省	七台河市	464
黑龙江省	鸡西市	467
黑龙江省	牡丹江市	453
黑龙江省	绥化市	455
黑龙江省	大兴安岭地区	457
黑龙江省	（加格达奇）	457
上海市	上海市	21
江苏省	南京市	25
江苏省	徐州市	516
江苏省	连云港市	518
江苏省	宿迁市	527
江苏省	淮安市	517
江苏省	盐城市	515
江苏省	扬州市	514
江苏省	泰州市	523
江苏省	南通市	513
江苏省	镇江市	511
江苏省	常州市	519
江苏省	无锡市	510
江苏省	苏州市	512
浙江省	杭州市	571
浙江省	湖州市	572
浙江省	嘉兴市	573
浙江省	舟山市	580
浙江省	宁波市	574
浙江省	绍兴市	575
浙江省	衢州市	570
浙江省	金华市	579
浙江省	台州市	576
浙江省	温州市	577
浙江省	丽水市	578
安徽省	合肥市	551
安徽省	宿州市	557
安徽省	淮北市	561
安徽省	阜阳市	558
安徽省	亳州市	558
安徽省	蚌埠市	552
安徽省	淮南市	554
安徽省	滁州市	550
安徽省	马鞍山市	555
安徽省	芜湖市	553
安徽省	铜陵市	562
安徽省	安庆市	556
安徽省	黄山市	559
安徽省	六安市	564
安徽省	池州市	566
安徽省	宣城市	563
福建省	福州市	591
福建省	南平市	599
福建省	三明市	598
福建省	莆田市	594
福建省	泉州市	595
福建省	厦门市	592
福建省	漳州市	596
福建省	龙岩市	597
福建省	宁德市	593
江西省	南昌市	791
江西省	九江市	792
江西省	景德镇市	798
江西省	鹰潭市	701
江西省	新余市	790
江西省	萍乡市	799
江西省	赣州市	797
江西省	上饶市	793
江西省	抚州市	794
江西省	宜春市	795
江西省	吉安市	796
山东省	济南市	531
山东省	聊城市	635
山东省	德州市	534
山东省	东营市	546
山东省	淄博市	533
山东省	潍坊市	536
山东省	烟台市	535
山东省	威海市	631
山东省	青岛市	532
山东省	日照市	633
山东省	临沂市	539
山东省	枣庄市	632
山东省	济宁市	537
山东省	泰安市	538
山东省	莱芜市	634
山东省	滨州市	543
山东省	菏泽市	530
河南省	郑州市	371
河南省	开封市	371
河南省	三门峡市	398
河南省	洛阳市	379
河南省	焦作市	391
河南省	济源市	391
河南省	新乡市	373
河南省	鹤壁市	392
河南省	安阳市	372
河南省	濮阳市	393
河南省	商丘市	370
河南省	许昌市	374
河南省	漯河市	395
河南省	平顶山市	375
河南省	南阳市	377
河南省	信阳市	376
河南省	周口市	394
河南省	驻马店市	396
湖北省	武汉市	27
湖北省	十堰市	719
湖北省	神农架林区	719
湖北省	襄阳市	710
湖北省	荆门市	724
湖北省	孝感市	712
湖北省	黄冈市	713
湖北省	鄂州市	711
湖北省	黄石市	714
